pergunta,opcao1,opcao2,opcao3,opcao4,correta
Qual clube ganhou a Premier League 2024/25?,Liverpool,Arsenal,Chelsea,Manchester United,0
Qual é o estádio do Manchester United?,Anfield,Old Trafford,Etihad,Emirates,1
Qual clube é conhecido como os Reds?,Chelsea,Liverpool,Tottenham,Newcastle,1
Qual clube joga no Emirates Stadium?,Arsenal,Chelsea,Aston Villa,Everton,0
Qual cidade é representada pelo Manchester City?,Londres,Liverpool,Manchester,Leeds,2
Qual jogador é conhecido como CR7?,Lionel Messi,Cristiano Ronaldo,Neymar Jr,Kylian Mbappé,1
Qual time venceu a Champions League 2023/2024?,Manchester City,Bayern de Munique,Real Madrid,PSG,2
Em qual clube Vinícius Jr atua atualmente?,Barcelona,Real Madrid,Flamengo,PSG,1
Qual seleção venceu a Copa do Mundo 2022?,Brasil,França,Argentina,Croácia,2
Qual o time de Erling Haaland?,Manchester United,Manchester City,Liverpool,Arsenal,1
Quem foi o artilheiro da Champions League 2023/2024?,Mbappé,Vinícius Jr,Haaland,Bellingham,1
Para qual clube Mbappé se transferiu em 2024?,Real Madrid,Liverpool,Barcelona,Manchester City,0
Quem ganhou a Bola de Ouro em 2024?,Vinícius Jr,Rodri,Bellingham,Haaland,1
Qual time venceu a Copa América 2024?,Brasil,Colômbia,Uruguai,Argentina,3
Quantos gols Messi marcou pela seleção argentina até 2024?,Mais de 100,Entre 80 e 100,Entre 60 e 80,Menos de 60,0
Qual a maior transferência da história do futebol?,Mbappé ao PSG,Neymar ao PSG,Coutinho ao Barça,Pogba ao United,1
Quem é o maior artilheiro da história das Copas do Mundo?,Ronaldo,Klose,Pelé,Müller,1
Qual jogador tem mais Champions League conquistadas?,Cristiano Ronaldo,Paco Gento,Messi,Modric,1
Quantos Ballon d'Or Messi possui até 2024?,6,7,8,9,2
Qual técnico tem mais títulos da Champions League?,Pep Guardiola,Carlo Ancelotti,Zidane,Mourinho,1
